,Video Title,Published At Date,Comment,Sentiment
0,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"Whoopi is always the one touting “it’s not cancel culture, it’s consequence culture.” Well I guess this is her consequence ",positive
1,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"What's outrageous is how Gina Carano got canceled for saying how bad the Holocaust was, and this woman only got ""suspended"" for basically saying that ""meh, it wasn't that bad""",negative
2,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,Yep. Her outrage proves her “apology” was COMPLETELY insincere.,neutral
3,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"She just needs to be honest.
She wasn't being anti-Semitic she was being anti-white.
That's the truth and she just has to point it out.",negative
4,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,I completely agree with Ben. She should be held to her own standard.,positive
5,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"So she isn't really sorry because she clearly doesn't think she has done anything wrong. What gives these people the right to keep changing definitions? Changing them to what suits THEM, not society in general. This shit HAS TO STOP.",negative
6,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"People set these ridiculous standards of others while assuming two things.
1) They are morally superior to those who disagree.
2) The standard they set will never turn on them.

You are correct, Ben. The people who have helped strengthen cancel culture deserve the same punishment when it comes for them.",positive
7,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"Punishments are supposed to be painful. It's amazing the ""privilege"" these people feel they should have.",neutral
8,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"I was such a fan of hers when I was little. The last few years, she's been sickening. Peace from England.",negative
9,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"""The holocaust wasn't about racism, no it's not about racism, it's not about racism."" - Whoopi Goldberg the gatekeeper of racism ",neutral
10,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"She's more upset about her suspension than the racist comments she made, how self-unaware do you have to be , she's utterly shameless , literally playing the victim card.",negative
11,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,She absolutely DEMANDS that people that say ANYTHING even in the slightest way to the black community even if it’s an honest mistake and OPINION which we do have the right to free speech should be fired IMMEDIATELY!!!,positive
12,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"Her, ""how dare anyone question anything I saw"" is just more proof of her narcissism. She needs to get a reality check.",neutral
13,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"I actually think they should invite Holocaust survivors and their families to sit across her on television and have this conversation. Then she might, just might actually learn something of value",positive
14,Whoopi Goldberg Reportedly LIVID About Her Suspension,2022-02-04,"As many lives as Whoopi Goldberg has ruined I not only hope she’s fired, I wouldn’t mind if she was arrested ( obviously for what I don’t know ) for something the same day, I’d probably cheer",negative
