,Video Title,Published At Date,Comment,Sentiment
0,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Awesome to see JRE back uploading to YouTube.  I'm not always on board with Joe's opinions but I 100% support his right to speak and interview guests openly and freely without fear of retaliation, even controversial ones.",positive
1,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"*“The flak is always the heaviest closest to the target.”*

I stand with Joe Rogan. Censorship is wrong!",negative
2,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Joe, you're the man. Keep on being you in this warped, nerf'd, bubble wrapped, delusional, psychotic, privileged era.",positive
3,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,We support you Joe! You are not a news outlet even though they want to hold you to their standards that they don’t apply to themselves!,neutral
4,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,Keep living honest and true Joe. We will show them what it’s like to live outside the corporate narrative that so many have fallen asleep to.,neutral
5,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"I've been a religious listener for around 6 years now. So happy Joe speaks his mind still and stands up to censorship, Spotify can suck it.",positive
6,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Over the years I've come to perceive Joe like an older brother. I've learned so much from him and above all else he's inspired me to keep an open mind, be willing to adapt my opinion and see other perspectives. Like most discrimination, most people are basing their dislike for Joe on gossip and third party information. It's clear most have never followed his podcasts.",neutral
7,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,We stand with you Joe. Your contribution to a culture of engagement and honest dialogue is unparalleled. Love you,positive
8,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"The people support you JOE  although I haven’t been watching The JRE Podcast as much as I use to, when it was still on YouTube, I still couldn’t stand idly by while this corporate and political smear campaign vs you and your name, went on progressively, and NOT be vocal about the support and interest I have in you and your show ",negative
9,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Mr. Rogan, I'm sure you didn't want it, but the universe chose you, and it appears that it chose the right person. Thank you....for whatever it's worth.",positive
10,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,Go Joe fr. He's always been the voice of the everyday American,positive
11,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Be you Joe!!!… honest, decent, inquisitive.
Anyone with more than inch of cerebral coil knows that there is a difference between ‘controversial’ and ‘person with a different opinion’
Millions of us tune in and appreciate you BECAUSE of your strengths…
Some people might just find that a little threatening …..
Only idiots of course…. But there are idiots around …
Love your show, the variety of topics your guests bring and we can only imagine the damn hard work behind it from you..!!!
Thankyou …",positive
12,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,MMA lover here ....we are with you Joe you're one of us.,positive
13,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"When they tried to cancel you. I found out how awesome you'd become since I last saw you years ago. 

Well done. ",positive
14,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,never been more happy to see a JRE podcast in my life,neutral
15,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"You probably didn't want it, but the universe chose you, Mr. Rogan. Seems like it picked the right person. Thank you....for whatever it's worth.",positive
16,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,I have become a better person from Joe and his guests. I stand with Joe..sad we have this censorship bs from our citizens,negative
17,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Don't let the rats put you down Joe, keep doing what you do best and never apologize for it.",positive
18,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"For anyone that's been watching since the early days, it's unreal that he's about to hit 12mil. But even more remarkable is the influence the show has had on society. Mind-boggling ",positive
19,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,Joe is living his dreams and he pushes people who want to dream to *DREAM BIG*,positive
20,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Joe, you changed my life. Many of your podcasts over the years namely the ones with Paul Stamets, Randall Carlson and Graham Hancock encouraged me to further my education and shaped the person I am today. Thank you Joe I stand with you in all you do",positive
21,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,I was starting to think Joe went on a sabbatical this week with everything that's been going on. Glad to see him back at it.,positive
22,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"I appreciate reading the comments and seeing the good vibes here.
Ive been watching Joe forever - from Joey Diaz, to Eddie Bravo, to Duncan in the old days. Its reassuring to me, to see people agree with ideas that are curious and honest and looking to find love in everything.",positive
23,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"I hope Joe has safety measures in place, it seems he is becoming a bigger and bigger target to those who are benefiting from not being exposed, too many fucks out their with no accountability, the truth is that accountability, and eventually it seems they all get brought to light. Joe is doing that and its so admirable, long live Joe Rogan and long live the exposing of deceit! lol",neutral
24,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"We stand with Joe Rogan, the most trusted man in media.",positive
25,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"I stand with Joe Rogan. 
No matter what.",positive
26,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"The best thing we can do at this point is limit our time and our childrens time on apps, social media, youtube, games etc. and invest our time in learning and thinking. Not just putting nonsense in our skulls but actively thinking outwardly, doing instead of watching.",positive
27,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Love you Joe, never stop doing what you do best",positive
28,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,We support you Joe 100%. Keep doing what you do best.  thank you,positive
29,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,We all love you Joe! Keep doing what you do!!,positive
30,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,You are a honorable man Joe Rogan I support you all the way.,positive
31,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"I'm dying right now, I'm glad to see Joe back  I agree with both of them when it comes to protecting our freedoms however I do believe we need each other as a nation dictated by capitalism.",positive
32,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Real talk, take advantage of the freedom we have. Most importantly be good people and dream big. Joe Rogan your amazing man! I hope to meet you some day! keep spreading the good!",positive
33,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,I'm glad you are back again do what you love. I listen to your broadcast every day while I'm workings. I love how you are on both side of things. keep up the great work.,positive
34,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,I love how sarcastic joe rogan is about joe biden i laughed so hard,positive
35,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Neil Young is taking a ""moral"" stance against free speech and open discussion by pledging his support for companies linked to human trafficking and modern slavery, Amazon and Apple.",positive
36,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,Never stop being you Joe! You have so much support. Thank you for continuing to be yourself!!!! ,positive
37,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"Andy is one of the best guests, no BS and real. Seeing him everywhere insider, GQ, BRCC, fng, cleared hot really is a great podcast",positive
38,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,How can the app distinguish the extremely subtle differences facially of the Chinese gamers?,positive
39,The Chinese App Using Facial Scans on Teenage Gamers,2022-02-04,"It’s been insane what he’s going through. Artists asking to be taken off Spotify because of pure ignorance. So afraid of someone with an audience speaking intelligently in a way that they don’t want to believe, or that disagrees with their precious views. They aren’t even willing to consider, or listen to anything other than what they think is correct. They jump right on the bandwagon, to make sure their liberal ideologies aren’t slightly doubted by the majority of the population. All of these people have never even heard a Rogan podcast. It makes them cry and upsets them so bad. It’s been the most comical thing to sit back and watch and enjoy. I’m so glad Spotify isn’t an American company, and that this will continue. We need to support Joe in any way possible, and get on Spotify and stream his podcasts as much as we can. Show that they could lose 100 artists and the $$$ wouldn’t come close to what they make off of the pod.",negative
