,Video Title,Published At Date,Comment,Sentiment
0,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Looking those kids bodies literally broke my heart, they're just still tiny babies. This is certainly not OK.",negative
1,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,So sad the kids and innocent people had to die!,negative
2,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Can't believe how many people are acting like we did the bombing here and not the father. These are the same people that will say everyone from Syria is a terrorist but when an actual terrorist kills his family they defend him.,negative
3,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Let's not lose touch with the deeper meaning here. The man killed himself and his family. 

Why?",negative
4,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"""Blew Himself up""  I'm from Canada and I lean left on almost all topics but I can't stop laughing at this report  and these clowns. Love it CNN",positive
5,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"""What effect might this have on ISIS going forward?"" 
None whatsoever.",negative
6,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,I wish these guys had longer names. They just arent long enough for me,negative
7,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Mission accomplished,positive
8,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Delivered safely to heaven  Good Work USA !,positive
9,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Similar raid planned for maralago, where the anarchist lives.",positive
10,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Are you going to show the aftermath of the “rust” movie set?,positive
11,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Let them stack up on bodybags and as long as they continue to assume that they will break our will we will gladly fill them...,positive
12,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,In other new CNN lost contact with Syrian affiliate……. Sad.,negative
13,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"0:54 ""alleged"" child has ""alleged"" red on fingers YET 0 red on clothes
1:18 red on floor,wall YET 0 meat
1:23 ""                                                ""
1:46 ""                                                 ""
1:52 red on floor YET 0 meat on floor,0 red,meat on fridge",negative
14,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"_Feb. 2020_
""Soon, at my direction, Secretary of State Mike Pompeo will witness the signing of an agreement with representatives of the Taliban, while Secretary of Defense Mark Esper will issue a joint declaration with the government of Afghanistan. If the Taliban and the government of Afghanistan live up to these commitments, we will have a powerful path forward to end the war in Afghanistan and bring our troops home.""",positive
15,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"This mixture of war and police tactics is insane
because it is ""peace"" they flood-light the house and try to have a hostage negotiation
and everyone inside dies
if it was ""war"" a sniper could have taken out only that single target alone, but in peace that would be murder",negative
16,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Wtf ,negative
17,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Everyone reading this should educate themselves on HOW these terrorist groups came about. Learn about WHY these groups despise the US. Educate yourself about our country and see it for what it is. It's the first step toward righting OUR wrongs and fixing the broken, vicious policies that create instability throughout the world.",positive
18,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Isis leader is replaced by someone else in no time and were still missing that 88 billion,negative
19,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,What did Jane Fonda know.....and when did she know it?,neutral
20,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"*Things are getting worse, it's so bad that having a job doesn't mean financial stable.*",negative
21,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,how sad fjb!!,negative
22,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Are we really pretending to care about ""terrorists"" when we just handed out 84 billion worth of guns?",neutral
23,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Next man Up! And it repeats.,neutral
24,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Disturbing?,negative
25,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"live by the sword die by the sword
how many has he killed 
sad kids got killed but HE KILLED THEM",negative
26,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,When are they going to go after the cartel like that? The cartels drugs kill many Americans and we hear crickets; it's very strange!,neutral
27,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"later on, oops wrong target",positive
28,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,War is ugly,negative
29,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Bunch of killers, wiping out a bunch of killers, the sad part is that innocent people always get caught in the middle",negative
30,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Wow, a differentiated report on CNN. Amazing.",positive
31,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,Shout to journalists like arwa damon who have been doing this job for decades.,positive
32,Disturbing video shows aftermath of raid killing ISIS leader,2022-02-04,"Raiding the Houses in Foreign Lands
while the Domestic One Hides at
Mar-a-lago.  ",neutral
